prepo_func,model,accuracy
DON,AdaBoost,0.14
DON,XGBoost,0.22
DON,RandomForest,0.3
DON,DecisionTree,0.18
LOW,AdaBoost,0.14
LOW,XGBoost,0.32
LOW,RandomForest,0.42
LOW,DecisionTree,0.28
RSW,AdaBoost,0.12
RSW,XGBoost,0.36
RSW,RandomForest,0.3
RSW,DecisionTree,0.16
STM,AdaBoost,0.1
STM,XGBoost,0.26
STM,RandomForest,0.3
STM,DecisionTree,0.26
LOW_RSW,AdaBoost,0.12
LOW_RSW,XGBoost,0.28
LOW_RSW,RandomForest,0.26
LOW_RSW,DecisionTree,0.22
LOW_STM,AdaBoost,0.1
LOW_STM,XGBoost,0.26
LOW_STM,RandomForest,0.3
LOW_STM,DecisionTree,0.26
RSW_LOW,AdaBoost,0.22
RSW_LOW,XGBoost,0.36
RSW_LOW,RandomForest,0.34
RSW_LOW,DecisionTree,0.24
RSW_STM,AdaBoost,0.12
RSW_STM,XGBoost,0.32
RSW_STM,RandomForest,0.36
RSW_STM,DecisionTree,0.22
STM_LOW,AdaBoost,0.12
STM_LOW,XGBoost,0.2
STM_LOW,RandomForest,0.4
STM_LOW,DecisionTree,0.2
STM_RSW,AdaBoost,0.18
STM_RSW,XGBoost,0.34
STM_RSW,RandomForest,0.32
STM_RSW,DecisionTree,0.22
LOW_STM_RSW,AdaBoost,0.18
LOW_STM_RSW,XGBoost,0.34
LOW_STM_RSW,RandomForest,0.32
LOW_STM_RSW,DecisionTree,0.22
LOW_RSW_STM,AdaBoost,0.12
LOW_RSW_STM,XGBoost,0.34
LOW_RSW_STM,RandomForest,0.3
LOW_RSW_STM,DecisionTree,0.18
STM_LOW_RSW,AdaBoost,0.18
STM_LOW_RSW,XGBoost,0.34
STM_LOW_RSW,RandomForest,0.32
STM_LOW_RSW,DecisionTree,0.22
STM_RSW_LOW,AdaBoost,0.18
STM_RSW_LOW,XGBoost,0.34
STM_RSW_LOW,RandomForest,0.32
STM_RSW_LOW,DecisionTree,0.22
RSW_LOW_STM,AdaBoost,0.12
RSW_LOW_STM,XGBoost,0.32
RSW_LOW_STM,RandomForest,0.36
RSW_LOW_STM,DecisionTree,0.22
RSW_STM_LOW,AdaBoost,0.12
RSW_STM_LOW,XGBoost,0.32
RSW_STM_LOW,RandomForest,0.36
RSW_STM_LOW,DecisionTree,0.22
